"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Projects Settings","Project Creation","Create Project Story","0","0","1","0","0"
"Projects Settings","Archive Project","Archive Project Story","0","0","1","0","0"
"Projects Settings","Favorite Project","Favorite Project Story","0","0","1","0","0"
"Projects Settings","New Section Creation","Create New Section Story","0","0","1","0","0"
"Projects Settings","Project Deletion","Delete Project Story","0","0","1","0","0"
"Projects Settings","Unarchive Project","Unarchive Project Story","0","0","1","0","0"
"Projects Settings","Project Edition","Edit Project Story","0","0","1","0","0"
